Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-05 05:37:57 | WARD_B_TEMP_01 | 40.2 | CRITICAL
2026-06-05 05:37:57 | WARD_B_TEMP_02 | 36.2 | NORMAL
2026-06-05 05:37:57 | WARD_B_TEMP_03 | 38.8 | CRITICAL
2026-06-05 05:37:57 | WARD_B_TEMP_04 | 35.4 | CRITICAL
2026-06-05 05:37:57 | WARD_B_TEMP_05 | 38.2 | CRITICAL
2026-06-05 05:37:58 | WARD_B_TEMP_01 | 38.0 | WARNING
2026-06-05 05:37:58 | WARD_B_TEMP_02 | 38.8 | CRITICAL
2026-06-05 05:37:58 | WARD_B_TEMP_03 | 37.9 | WARNING
2026-06-05 05:37:58 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-06-05 05:37:58 | WARD_B_TEMP_05 | 35.8 | NORMAL
2026-06-05 05:37:59 | WARD_B_TEMP_01 | 35.5 | NORMAL
2026-06-05 05:37:59 | WARD_B_TEMP_02 | 34.6 | CRITICAL
2026-06-05 05:37:59 | WARD_B_TEMP_03 | 38.4 | CRITICAL
2026-06-05 05:37:59 | WARD_B_TEMP_04 | 34.9 | CRITICAL
2026-06-05 05:37:59 | WARD_B_TEMP_05 | 36.2 | NORMAL
2026-06-05 05:38:00 | WARD_B_TEMP_01 | 37.1 | NORMAL
2026-06-05 05:38:00 | WARD_B_TEMP_02 | 39.8 | CRITICAL
2026-06-05 05:38:00 | WARD_B_TEMP_03 | 37.9 | WARNING
2026-06-05 05:38:00 | WARD_B_TEMP_04 | 37.0 | NORMAL
2026-06-05 05:38:00 | WARD_B_TEMP_05 | 34.8 | CRITICAL
2026-06-05 05:38:01 | WARD_B_TEMP_01 | 38.3 | CRITICAL
2026-06-05 05:38:01 | WARD_B_TEMP_02 | 35.9 | NORMAL
2026-06-05 05:38:01 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-05 05:38:01 | WARD_B_TEMP_04 | 36.3 | NORMAL
2026-06-05 05:38:01 | WARD_B_TEMP_05 | 38.4 | CRITICAL
2026-06-05 05:38:02 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-06-05 05:38:02 | WARD_B_TEMP_02 | 36.4 | NORMAL
2026-06-05 05:38:02 | WARD_B_TEMP_03 | 38.5 | CRITICAL
2026-06-05 05:38:02 | WARD_B_TEMP_04 | 40.0 | CRITICAL
2026-06-05 05:38:02 | WARD_B_TEMP_05 | 38.4 | CRITICAL
2026-06-05 05:38:03 | WARD_B_TEMP_01 | 38.4 | CRITICAL
2026-06-05 05:38:03 | WARD_B_TEMP_02 | 37.8 | WARNING
2026-06-05 05:38:03 | WARD_B_TEMP_03 | 36.8 | NORMAL
2026-06-05 05:38:03 | WARD_B_TEMP_04 | 36.8 | NORMAL
2026-06-05 05:38:03 | WARD_B_TEMP_05 | 36.3 | NORMAL
2026-06-05 05:38:04 | WARD_B_TEMP_01 | 35.2 | CRITICAL
2026-06-05 05:38:04 | WARD_B_TEMP_02 | 40.2 | CRITICAL
2026-06-05 05:38:04 | WARD_B_TEMP_03 | 36.1 | NORMAL
2026-06-05 05:38:04 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-05 05:38:04 | WARD_B_TEMP_05 | 36.2 | NORMAL
2026-06-05 05:38:05 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-05 05:38:05 | WARD_B_TEMP_02 | 36.4 | NORMAL
2026-06-05 05:38:05 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-06-05 05:38:05 | WARD_B_TEMP_04 | 34.8 | CRITICAL
2026-06-05 05:38:05 | WARD_B_TEMP_05 | 35.3 | CRITICAL
2026-06-05 05:38:06 | WARD_B_TEMP_01 | 38.7 | CRITICAL
2026-06-05 05:38:06 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-06-05 05:38:06 | WARD_B_TEMP_03 | 39.6 | CRITICAL
2026-06-05 05:38:06 | WARD_B_TEMP_04 | 38.4 | CRITICAL
2026-06-05 05:38:06 | WARD_B_TEMP_05 | 37.3 | NORMAL
2026-06-05 05:38:07 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-06-05 05:38:07 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-06-05 05:38:07 | WARD_B_TEMP_03 | 39.6 | CRITICAL
2026-06-05 05:38:07 | WARD_B_TEMP_04 | 39.3 | CRITICAL
2026-06-05 05:38:07 | WARD_B_TEMP_05 | 38.8 | CRITICAL
2026-06-05 05:38:08 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-06-05 05:38:08 | WARD_B_TEMP_02 | 34.9 | CRITICAL
2026-06-05 05:38:08 | WARD_B_TEMP_03 | 36.0 | NORMAL
2026-06-05 05:38:08 | WARD_B_TEMP_04 | 40.0 | CRITICAL
2026-06-05 05:38:08 | WARD_B_TEMP_05 | 35.1 | CRITICAL
2026-06-05 05:38:09 | WARD_B_TEMP_01 | 36.3 | NORMAL
2026-06-05 05:38:09 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-06-05 05:38:09 | WARD_B_TEMP_03 | 39.8 | CRITICAL
2026-06-05 05:38:09 | WARD_B_TEMP_04 | 38.8 | CRITICAL
2026-06-05 05:38:09 | WARD_B_TEMP_05 | 37.5 | WARNING
2026-06-05 05:38:10 | WARD_B_TEMP_01 | 37.0 | NORMAL
2026-06-05 05:38:10 | WARD_B_TEMP_02 | 40.4 | CRITICAL
2026-06-05 05:38:10 | WARD_B_TEMP_03 | 35.9 | NORMAL
2026-06-05 05:38:10 | WARD_B_TEMP_04 | 37.6 | WARNING
2026-06-05 05:38:10 | WARD_B_TEMP_05 | 39.4 | CRITICAL
2026-06-05 05:38:11 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-06-05 05:38:11 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-06-05 05:38:11 | WARD_B_TEMP_03 | 38.1 | CRITICAL
2026-06-05 05:38:11 | WARD_B_TEMP_04 | 37.7 | WARNING
2026-06-05 05:38:11 | WARD_B_TEMP_05 | 36.0 | NORMAL
2026-06-05 05:38:12 | WARD_B_TEMP_01 | 35.2 | CRITICAL
2026-06-05 05:38:12 | WARD_B_TEMP_02 | 38.0 | WARNING
2026-06-05 05:38:12 | WARD_B_TEMP_03 | 34.7 | CRITICAL
2026-06-05 05:38:12 | WARD_B_TEMP_04 | 36.2 | NORMAL
2026-06-05 05:38:12 | WARD_B_TEMP_05 | 38.0 | WARNING
2026-06-05 05:38:13 | WARD_B_TEMP_01 | 34.7 | CRITICAL
2026-06-05 05:38:13 | WARD_B_TEMP_02 | 37.7 | WARNING
2026-06-05 05:38:13 | WARD_B_TEMP_03 | 36.4 | NORMAL
2026-06-05 05:38:13 | WARD_B_TEMP_04 | 40.3 | CRITICAL
2026-06-05 05:38:13 | WARD_B_TEMP_05 | 36.1 | NORMAL
2026-06-05 05:38:14 | WARD_B_TEMP_01 | 38.1 | CRITICAL
2026-06-05 05:38:14 | WARD_B_TEMP_02 | 37.4 | NORMAL
2026-06-05 05:38:14 | WARD_B_TEMP_03 | 35.6 | NORMAL
2026-06-05 05:38:14 | WARD_B_TEMP_04 | 39.9 | CRITICAL
2026-06-05 05:38:14 | WARD_B_TEMP_05 | 36.9 | NORMAL
2026-06-05 05:38:15 | WARD_B_TEMP_01 | 38.8 | CRITICAL
2026-06-05 05:38:15 | WARD_B_TEMP_02 | 37.0 | NORMAL
2026-06-05 05:38:15 | WARD_B_TEMP_03 | 36.1 | NORMAL
